student_id,term_id,aid_type,amount_awarded,disbursement_date
S001,2023FA,scholarship,5000,2023-08-01
S001,2023FA,loan,3000,2023-08-01
S002,2023FA,scholarship,4000,2023-08-01
S002,2023FA,grant,2000,2023-08-01
S003,2023FA,scholarship,6000,2023-08-01
S004,2023FA,grant,3000,2023-08-01
S004,2023FA,loan,2000,2023-08-01
S005,2023FA,scholarship,4500,2023-08-01
S006,2023FA,grant,2500,2023-08-01
S006,2023FA,loan,1500,2023-08-01
S007,2023FA,scholarship,5500,2023-08-01
S008,2023FA,grant,3500,2023-08-01
S009,2023FA,scholarship,4800,2023-08-01
S009,2023FA,loan,2200,2023-08-01
S010,2023FA,grant,2800,2023-08-01
S010,2023FA,scholarship,4200,2023-08-01 
