student_id,term_id,course_id,enrollment_status,enrollment_date,grade
S001,2023FA,CS101,active,2023-08-15,3.8
S001,2023FA,MATH101,active,2023-08-15,3.5
S002,2023FA,CS101,active,2023-08-15,3.2
S002,2023FA,ENG101,active,2023-08-15,3.7
S003,2023FA,CS101,active,2023-08-15,3.9
S003,2023FA,MATH101,active,2023-08-15,3.6
S004,2023FA,ENG101,active,2023-08-15,3.4
S004,2023FA,HIST101,active,2023-08-15,3.8
S005,2023FA,CS101,active,2023-08-15,3.7
S005,2023FA,ENG101,active,2023-08-15,3.5
S006,2023FA,MATH101,active,2023-08-15,3.3
S006,2023FA,HIST101,active,2023-08-15,3.6
S007,2023FA,CS101,active,2023-08-15,3.8
S007,2023FA,MATH101,active,2023-08-15,3.9
S008,2023FA,ENG101,active,2023-08-15,3.5
S008,2023FA,HIST101,active,2023-08-15,3.7
S009,2023FA,CS101,active,2023-08-15,3.6
S009,2023FA,ENG101,active,2023-08-15,3.4
S010,2023FA,MATH101,active,2023-08-15,3.8
S010,2023FA,HIST101,active,2023-08-15,3.9 
